datetime_utc,action,symbol,base_currency,base_amount,btc_qty,avg_price,fee,dip_price,dip_qty,base_before,base_after,btc_before,btc_after
2025-08-30T18:55:46.327120+00:00,simple_dca,BTCUSDT,USDT,10.0,0.00009000,108826.44000000,0E-8,,,9708.24745180,9698.45307220,1.00261000,1.00270000
2025-08-30T19:08:14.810291+00:00,simple_dca,BTCUSDT,USDT,10.0,0.00009000,108729.40000000,0E-8,,,9698.45307220,9688.66742620,1.00270000,1.00279000
